"movieId,""tagId"",""relevance"""
1,1,0.025
1,2,0.025
1,3,0.05775
1,4,0.09675
1,5,0.14675
1,6,0.217
1,7,0.067
1,8,0.26275
1,9,0.262
1,10,0.032
1,11,0.577
1,12,0.11625
1,13,0.188
1,14,0.00800000000000001
1,15,0.03675
1,16,0.28175
1,17,0.00700000000000001
1,18,0.1105
1,19,0.6705
1,20,0.1845
1,21,0.33025
1,22,0.2825
1,23,0.057
1,24,0.0155
1,25,0.085
1,26,0.081
1,27,0.195
1,28,0.0715
1,29,0.892
1,30,0.67625
1,31,0.03875
1,32,0.228
1,33,0.402
1,34,0.03875
1,35,0.02675
1,36,0.33025
1,37,0.101
1,38,0.0125
1,39,0.0185
1,40,0.01425
1,41,0.01375
1,42,0.02475
1,43,0.14725
1,44,0.0415
1,45,0.26725
1,46,0.25575
1,47,0.00800000000000001
1,48,0.141
1,49,0.32
1,50,0.06825
1,51,0.26525
1,52,0.15825
1,53,0.235
1,54,0.07575
1,55,0.17875
1,56,0.0245
1,57,0.02275
1,58,0.018
1,59,0.13725
1,60,0.03125
1,61,0.54475
1,62,0.68775
1,63,0.93325
1,64,0.98575
1,65,0.101
1,66,0.0375
1,67,0.12075
1,68,0.03775
1,69,0.02
1,70,0.1435
1,71,0.011
1,72,0.02175
1,73,0.07325
1,74,0.012
1,75,0.2275
1,76,0.01525
1,77,0.097
1,78,0.0445
1,79,0.3575
1,80,0.02375
1,81,0.0545
1,82,0.111
1,83,0.03225
1,84,0.27975
1,85,0.09225
1,86,0.30275
1,87,0.04125
1,88,0.00624999999999998
1,89,0.00874999999999998
1,90,0.1435
1,91,0.0595
1,92,0.02875
1,93,0.32775
1,94,0.33225
1,95,0.044
1,96,0.0435
1,97,0.0625
1,98,0.05675
1,99,0.12725
1,100,0.10775
1,101,0.06875
1,102,0.0135
1,103,0.00900000000000001
1,104,0.0045
1,105,0.03975
1,106,0.00674999999999998
1,107,0.1875
1,108,0.03
1,109,0.13675
1,110,0.09675
1,111,0.013
1,112,0.0165
1,113,0.53425
1,114,0.034
1,115,0.2245
1,116,0.023
1,117,0.0055
1,118,0.0305
1,119,0.0015
1,120,0.1285
1,121,0.32025
1,122,0.23425
1,123,0.015
1,124,0.043
1,125,0.0465
1,126,0.05025
1,127,0.0415
1,128,0.43325
1,129,0.1795
1,130,0.0175
1,131,0.02725
1,132,0.2645
1,133,0.1155
1,134,0.0745
1,135,0.09375
1,136,0.1
1,137,0.069
1,138,0.26375
1,139,0.02875
1,140,0.12375
1,141,0.088
1,142,0.01475
1,143,0.08825
1,144,0.06825
1,145,0.08175
1,146,0.0515
1,147,0.0145
1,148,0.022
1,149,0.0745
1,150,0.0275
1,151,0.036
1,152,0.072
1,153,0.05325
1,154,0.207
1,155,0.0535
1,156,0.06175
1,157,0.046
1,158,0.02375
1,159,0.0355
1,160,0.177
1,161,0.01025
1,162,0.2365
1,163,0.085
1,164,0.2525
1,165,0.08425
1,166,0.01725
1,167,0.1475
1,168,0.03925
1,169,0.20525
1,170,0.45025
1,171,0.133
1,172,0.41575
1,173,0.11625
1,174,0.014
1,175,0.333
1,176,0.147
1,177,0.0495
1,178,0.02225
1,179,0.1105
1,180,0.028
1,181,0.14025
1,182,0.03575
1,183,0.06325
1,184,0.032
1,185,0.16275
1,186,0.9565
1,187,0.015
1,188,0.486
1,189,0.0485
1,190,0.02525
1,191,0.13625
1,192,0.3045
1,193,0.81925
1,194,0.1335
1,195,0.59
1,196,0.056
1,197,0.01975
1,198,0.0815
1,199,0.06775
1,200,0.03
1,201,0.058
1,202,0.0155
1,203,0.92625
1,204,0.96425
1,205,0.01125
1,206,0.04575
1,207,0.016
1,208,0.0145
1,209,0.01325
1,210,0.02
1,211,0.0165
1,212,0.1235
1,213,0.06375
1,214,0.03725
1,215,0.81925
1,216,0.32075
1,217,0.017
1,218,0.1565
1,219,0.00874999999999998
1,220,0.78025
1,221,0.07325
1,222,0.112
1,223,0.0365
1,224,0.03575
1,225,0.01
1,226,0.106
1,227,0.02475
1,228,0.01975
1,229,0.52475
1,230,0.618
1,231,0.13725
1,232,0.042
1,233,0.0935
1,234,0.07625
1,235,0.333
1,236,0.15425
1,237,0.0195
1,238,0.1585
1,239,0.08125
1,240,0.3555
1,241,0.064
1,242,0.11225
1,243,0.10225
1,244,0.9985
1,245,0.05525
1,246,0.447
1,247,0.057
1,248,0.11575
1,249,0.04275
1,250,0.01725
1,251,0.22175
1,252,0.056
1,253,0.02525
1,254,0.04875
1,255,0.5445
1,256,0.06075
1,257,0.02925
1,258,0.28625
1,259,0.07625
1,260,0.41725
1,261,0.02475
1,262,0.0325
1,263,0.02275
1,264,0.0495
1,265,0.057
1,266,0.5875
1,267,0.17
1,268,0.09275
1,269,0.30925
1,270,0.3165
1,271,0.034
1,272,0.314
1,273,0.036
1,274,0.191
1,275,0.23425
1,276,0.18875
1,277,0.413
1,278,0.8
1,279,0.57
1,280,0.02025
1,281,0.04625
1,282,0.19575
1,283,0.0145
1,284,0.01125
1,285,0.082
1,286,0.068
1,287,0.06125
1,288,0.21975
1,289,0.07375
1,290,0.0175
1,291,0.02425
1,292,0.1915
1,293,0.04575
1,294,0.05375
1,295,0.0055
1,296,0.078
1,297,0.1525
1,298,0.0555
1,299,0.51525
1,300,0.042
1,301,0.00850000000000001
1,302,0.6375
1,303,0.0695
1,304,0.38375
1,305,0.07775
1,306,0.065
1,307,0.00750000000000001
1,308,0.0555
1,309,0.873
1,310,0.91375
1,311,0.15925
1,312,0.082
1,313,0.12175
1,314,0.174
1,315,0.0315
1,316,0.307
1,317,0.12425
1,318,0.0345
1,319,0.17225
1,320,0.0915
1,321,0.03025
1,322,0.101
1,323,0.3615
1,324,0.256
1,325,0.1225
1,326,0.1835
1,327,0.1835
1,328,0.169
1,329,0.06575
1,330,0.04
1,331,0.029
1,332,0.024
1,333,0.03875
1,334,0.32875
1,335,0.11375
1,336,0.063
1,337,0.094
1,338,0.45325
1,339,0.051
1,340,0.00474999999999998
1,341,0.11475
1,342,0.0415
1,343,0.1155
1,344,0.092
1,345,0.314
1,346,0.0395
1,347,0.00774999999999998
1,348,0.2915
1,349,0.1555
1,350,0.129
1,351,0.2185
1,352,0.03325
1,353,0.3515
1,354,0.14575
1,355,0.721
1,356,0.31625
1,357,0.05025
1,358,0.13725
1,359,0.14575
1,360,0.081
1,361,0.04225
1,362,0.1355
1,363,0.0245
1,364,0.62525
1,365,0.5415
1,366,0.18225
1,367,0.47075
1,368,0.24175
1,369,0.03225
1,370,0.09
1,371,0.52025
1,372,0.30075
1,373,0.024
1,374,0.8485
1,375,0.15625
1,376,0.19675
1,377,0.59675
1,378,0.463
1,379,0.06725
1,380,0.02375
1,381,0.168
1,382,0.486
1,383,0.0645
1,384,0.0385
1,385,0.1405
1,386,0.07975
1,387,0.61925
1,388,0.73425
1,389,0.26175
1,390,0.1745
1,391,0.2965
1,392,0.00700000000000001
1,393,0.126
1,394,0.02975
1,395,0.122
1,396,0.232
1,397,0.1095
1,398,0.0315
1,399,0.04875
1,400,0.02125
1,401,0.27125
1,402,0.077
1,403,0.184
1,404,0.02775
1,405,0.047
1,406,0.23425
1,407,0.02975
1,408,0.051
1,409,0.043
1,410,0.0915
1,411,0.0365
1,412,0.91175
1,413,0.0795
1,414,0.87775
1,415,0.823
1,416,0.037
1,417,0.695
1,418,0.16175
1,419,0.12
1,420,0.1345
1,421,0.03525
1,422,0.19725
1,423,0.0765
1,424,0.19675
1,425,0.056
1,426,0.1255
1,427,0.16325
1,428,0.06825
1,429,0.0525
1,430,0.07675
1,431,0.04125
1,432,0.0325
1,433,0.06225
1,434,0.028
1,435,0.037
1,436,0.062
1,437,0.14125
1,438,0.01925
1,439,0.17575
1,440,0.026
1,441,0.0415
1,442,0.02325
1,443,0.13675
1,444,0.04025
1,445,0.8355
1,446,0.4785
1,447,0.4565
1,448,0.25775
1,449,0.29975
1,450,0.05575
1,451,0.39225
1,452,0.73375
1,453,0.46675
1,454,0.4755
1,455,0.457
1,456,0.016
1,457,0.02875
1,458,0.14375
1,459,0.02475
1,460,0.02375
1,461,0.15075
1,462,0.0965
1,463,0.03925
1,464,0.83525
1,465,0.397
1,466,0.09475
1,467,0.229
1,468,0.6315
1,469,0.92075
1,470,0.0865
1,471,0.268
1,472,0.443
1,473,0.1085
1,474,0.213
1,475,0.12975
1,476,0.00900000000000001
1,477,0.0355
1,478,0.0915
1,479,0.03525
1,480,0.0105
1,481,0.27575
1,482,0.0325
1,483,0.05275
1,484,0.0515
1,485,0.03825
1,486,0.047
1,487,0.01
1,488,0.0105
1,489,0.00224999999999997
1,490,0.485
1,491,0.02225
1,492,0.012
1,493,0.25825
1,494,0.0215
1,495,0.0285
1,496,0.242
1,497,0.75875
1,498,0.13925
1,499,0.01525
1,500,0.053
1,501,0.0225
1,502,0.10975
1,503,0.0495
1,504,0.53125
1,505,0.34225
1,506,0.0745
1,507,0.02625
1,508,0.204
1,509,0.1465
1,510,0.0465
1,511,0.02725
1,512,0.07925
1,513,0.068
